,poverty_percentage,join_key
1200,0.1,"(155.0, 2012)"
1201,0.1,"(155.0, 2013)"
1202,0.0,"(155.0, 2014)"
1203,0.1,"(155.0, 2015)"
1204,0.1,"(155.0, 2016)"
1205,0.0,"(155.0, 2017)"
1206,0.0,"(155.0, 2018)"
1207,0.0,"(155.0, 2019)"
1208,0.0,"(155.0, 2020)"
1209,0.0,"(155.0, 2021)"
1220,11.2,"(156.0, 2010)"
1221,7.9,"(156.0, 2011)"
1222,6.5,"(156.0, 2012)"
1223,1.9,"(156.0, 2013)"
1224,1.4,"(156.0, 2014)"
1225,0.7,"(156.0, 2015)"
1226,0.5,"(156.0, 2016)"
1227,0.5,"(156.0, 2017)"
1228,0.5,"(156.0, 2018)"
1229,0.5,"(156.0, 2019)"
1230,0.5,"(156.0, 2020)"
1231,0.5,"(156.0, 2021)"
1242,7.8,"(170.0, 2010)"
1243,6.3,"(170.0, 2011)"
1244,6.2,"(170.0, 2012)"
1245,5.6,"(170.0, 2013)"
1246,5.0,"(170.0, 2014)"
1247,4.6,"(170.0, 2015)"
1248,4.5,"(170.0, 2016)"
1249,4.0,"(170.0, 2017)"
1250,4.2,"(170.0, 2018)"
1251,4.9,"(170.0, 2019)"
1252,4.9,"(170.0, 2020)"
1253,4.9,"(170.0, 2021)"
1264,15.0,"(174.0, 2010)"
1265,15.0,"(174.0, 2011)"
1266,15.0,"(174.0, 2012)"
1267,15.0,"(174.0, 2013)"
1268,19.1,"(174.0, 2014)"
1269,19.1,"(174.0, 2015)"
1270,19.1,"(174.0, 2016)"
1271,19.1,"(174.0, 2017)"
1272,19.1,"(174.0, 2018)"
1273,19.1,"(174.0, 2019)"
1274,19.1,"(174.0, 2020)"
1275,19.1,"(174.0, 2021)"
1286,55.1,"(178.0, 2010)"
1287,39.6,"(178.0, 2011)"
1288,39.6,"(178.0, 2012)"
1289,39.6,"(178.0, 2013)"
1290,39.6,"(178.0, 2014)"
1291,39.6,"(178.0, 2015)"
1292,39.6,"(178.0, 2016)"
1293,39.6,"(178.0, 2017)"
1294,39.6,"(178.0, 2018)"
1295,39.6,"(178.0, 2019)"
1296,39.6,"(178.0, 2020)"
1297,39.6,"(178.0, 2021)"
1308,94.3,"(180.0, 2010)"
1309,94.3,"(180.0, 2011)"
1310,77.2,"(180.0, 2012)"
1311,77.2,"(180.0, 2013)"
1312,77.2,"(180.0, 2014)"
1313,77.2,"(180.0, 2015)"
1314,77.2,"(180.0, 2016)"
1315,77.2,"(180.0, 2017)"
1316,77.2,"(180.0, 2018)"
1317,77.2,"(180.0, 2019)"
1318,77.2,"(180.0, 2020)"
1319,77.2,"(180.0, 2021)"
1330,1.6,"(188.0, 2010)"
1331,1.7,"(188.0, 2011)"
1332,1.7,"(188.0, 2012)"
1333,1.6,"(188.0, 2013)"
1334,1.5,"(188.0, 2014)"
1335,1.5,"(188.0, 2015)"
1336,1.3,"(188.0, 2016)"
1337,1.1,"(188.0, 2017)"
1338,1.5,"(188.0, 2018)"
1339,1.0,"(188.0, 2019)"
1340,1.0,"(188.0, 2020)"
1341,1.0,"(188.0, 2021)"
1352,1.2,"(191.0, 2010)"
1353,0.7,"(191.0, 2011)"
1354,0.8,"(191.0, 2012)"
1355,0.7,"(191.0, 2013)"
1356,1.0,"(191.0, 2014)"
1357,0.6,"(191.0, 2015)"
1358,0.6,"(191.0, 2016)"
1359,0.5,"(191.0, 2017)"
1360,0.4,"(191.0, 2018)"
1361,0.4,"(191.0, 2019)"
1362,0.4,"(191.0, 2020)"
1363,0.4,"(191.0, 2021)"
1374,0.0,"(196.0, 2010)"
1375,0.0,"(196.0, 2011)"
1376,0.0,"(196.0, 2012)"
1377,0.1,"(196.0, 2013)"
1378,0.1,"(196.0, 2014)"
1379,0.0,"(196.0, 2015)"
1380,0.0,"(196.0, 2016)"
1381,0.0,"(196.0, 2017)"
1382,0.0,"(196.0, 2018)"
1383,0.0,"(196.0, 2019)"
1384,0.0,"(196.0, 2020)"
1385,0.0,"(196.0, 2021)"
1396,40.8,"(199.0, 2010)"
1397,39.9,"(199.0, 2011)"
1398,38.3,"(199.0, 2012)"
1399,37.5,"(199.0, 2013)"
1400,36.9,"(199.0, 2014)"
1401,37.3,"(199.0, 2015)"
1402,37.2,"(199.0, 2016)"
1403,36.3,"(199.0, 2017)"
1404,35.3,"(199.0, 2018)"
1405,35.3,"(199.0, 2019)"
1406,35.3,"(199.0, 2020)"
