,join_key,full_time_researchers_per_million
1200,"(364, 2012)",697.06229
1201,"(364, 2013)",679.38896
1202,"(364, 2014)",679.38896
1203,"(364, 2015)",825.2793
1204,"(364, 2016)",825.2793
1205,"(364, 2017)",1474.91351
1206,"(364, 2018)",1474.91351
1207,"(364, 2019)",1474.91351
1208,"(364, 2020)",1474.91351
1209,"(364, 2021)",1474.91351
1220,"(368, 2010)",432.01568
1221,"(368, 2011)",441.29756
1222,"(368, 2012)",441.29756
1223,"(368, 2013)",441.29756
1224,"(368, 2014)",69.56885
1225,"(368, 2015)",65.81003
1226,"(368, 2016)",64.76253
1227,"(368, 2017)",105.92266
1228,"(368, 2018)",111.13687
1229,"(368, 2019)",111.13687
1230,"(368, 2020)",111.13687
1231,"(368, 2021)",111.13687
1242,"(372, 2010)",3112.64841
1243,"(372, 2011)",3325.77887
1244,"(372, 2012)",4853.9581
1245,"(372, 2013)",5136.47506
1246,"(372, 2014)",5304.47968
1247,"(372, 2015)",5270.65971
1248,"(372, 2016)",5178.20302
1249,"(372, 2017)",5401.03558
1250,"(372, 2018)",5243.12624
1251,"(372, 2019)",5243.12624
1252,"(372, 2020)",5243.12624
1253,"(372, 2021)",5243.12624
1264,"(380, 2010)",1743.3443
1265,"(380, 2011)",1781.38859
1266,"(380, 2012)",1848.62689
1267,"(380, 2013)",1930.68673
1268,"(380, 2014)",1956.36059
1269,"(380, 2015)",2077.88262
1270,"(380, 2016)",2204.07609
1271,"(380, 2017)",2313.65481
1272,"(380, 2018)",2306.76644
1273,"(380, 2019)",2306.76644
1274,"(380, 2020)",2306.76644
1275,"(380, 2021)",2306.76644
1286,"(384, 2010)",69.13831
1287,"(384, 2011)",69.13831
1288,"(384, 2012)",69.13831
1289,"(384, 2013)",69.13831
1290,"(384, 2014)",69.13831
1291,"(384, 2015)",69.13831
1292,"(384, 2016)",69.13831
1293,"(384, 2017)",69.13831
1294,"(384, 2018)",69.13831
1295,"(384, 2019)",69.13831
1296,"(384, 2020)",69.13831
1297,"(384, 2021)",69.13831
1308,"(392, 2010)",5103.62526
1309,"(392, 2011)",5110.16567
1310,"(392, 2012)",5032.93122
1311,"(392, 2013)",5147.43517
1312,"(392, 2014)",5328.40955
1313,"(392, 2015)",5173.03053
1314,"(392, 2016)",5209.36906
1315,"(392, 2017)",5304.13762
1316,"(392, 2018)",5331.15027
1317,"(392, 2019)",5331.15027
1318,"(392, 2020)",5331.15027
1319,"(392, 2021)",5331.15027
1330,"(398, 2010)",370.53265
1331,"(398, 2011)",385.91519
1332,"(398, 2012)",612.18307
1333,"(398, 2013)",737.22035
1334,"(398, 2014)",798.6654
1335,"(398, 2015)",777.14475
1336,"(398, 2016)",693.6834
1337,"(398, 2017)",666.14974
1338,"(398, 2018)",666.9353
1339,"(398, 2019)",666.9353
1340,"(398, 2020)",666.9353
1341,"(398, 2021)",666.9353
1357,"(400, 2015)",252.41257
1358,"(400, 2016)",592.40429
1359,"(400, 2017)",595.96296
1360,"(400, 2018)",595.96296
1361,"(400, 2019)",595.96296
1362,"(400, 2020)",595.96296
1363,"(400, 2021)",595.96296
1374,"(404, 2010)",221.38592
1375,"(404, 2011)",221.38592
1376,"(404, 2012)",221.38592
1377,"(404, 2013)",221.38592
1378,"(404, 2014)",221.38592
1379,"(404, 2015)",221.38592
1380,"(404, 2016)",221.38592
1381,"(404, 2017)",221.38592
1382,"(404, 2018)",221.38592
1383,"(404, 2019)",221.38592
1384,"(404, 2020)",221.38592
1385,"(404, 2021)",221.38592
1396,"(410, 2010)",5330.8012
1397,"(410, 2011)",5802.83693
1398,"(410, 2012)",6304.13833
1399,"(410, 2013)",6392.6361
1400,"(410, 2014)",6826.27375
1401,"(410, 2015)",7013.4907
1402,"(410, 2016)",7086.44637
1403,"(410, 2017)",7497.59608
1404,"(410, 2018)",7980.39565
1405,"(410, 2019)",7980.39565
1406,"(410, 2020)",7980.39565
1407,"(410, 2021)",7980.39565
1418,"(414, 2010)",136.03469
1419,"(414, 2011)",129.73239
1420,"(414, 2012)",131.08966
1421,"(414, 2013)",131.08966
1422,"(414, 2014)",620.16705
1423,"(414, 2015)",395.76691
1424,"(414, 2016)",478.15511
1425,"(414, 2017)",501.56567
1426,"(414, 2018)",513.86021
1427,"(414, 2019)",513.86021
1428,"(414, 2020)",513.86021
1429,"(414, 2021)",513.86021
1440,"(418, 2010)",15.83763
1441,"(418, 2011)",15.83763
1442,"(418, 2012)",15.83763
1443,"(418, 2013)",15.83763
1444,"(418, 2014)",15.83763
1445,"(418, 2015)",15.83763
1446,"(418, 2016)",15.83763
1447,"(418, 2017)",15.83763
1448,"(418, 2018)",15.83763
1449,"(418, 2019)",15.83763
1450,"(418, 2020)",15.83763
1451,"(418, 2021)",15.83763
1462,"(426, 2010)",23.01356
1463,"(426, 2011)",5.93875
1464,"(426, 2012)",5.93875
1465,"(426, 2013)",5.93875
1466,"(426, 2014)",5.93875
1467,"(426, 2015)",24.1134
1468,"(426, 2016)",24.1134
1469,"(426, 2017)",24.1134
1470,"(426, 2018)",24.1134
1471,"(426, 2019)",24.1134
1472,"(426, 2020)",24.1134
1473,"(426, 2021)",24.1134
1484,"(428, 2010)",1838.72373
1485,"(428, 2011)",1885.26039
1486,"(428, 2012)",1886.88729
1487,"(428, 2013)",1772.65341
1488,"(428, 2014)",1854.32652
1489,"(428, 2015)",1808.60341
1490,"(428, 2016)",1596.54272
1491,"(428, 2017)",1784.63705
1492,"(428, 2018)",1792.10447
1493,"(428, 2019)",1792.10447
1494,"(428, 2020)",1792.10447
1495,"(428, 2021)",1792.10447
1506,"(440, 2010)",2752.72295
1507,"(440, 2011)",2721.0196
1508,"(440, 2012)",2634.32583
1509,"(440, 2013)",2843.86431
1510,"(440, 2014)",3054.01621
1511,"(440, 2015)",2785.58468
1512,"(440, 2016)",2950.27923
1513,"(440, 2017)",3071.96071
1514,"(440, 2018)",3190.70248
1515,"(440, 2019)",3190.70248
1516,"(440, 2020)",3190.70248
1517,"(440, 2021)",3190.70248
1528,"(442, 2010)",5144.98247
1529,"(442, 2011)",5451.36114
1530,"(442, 2012)",4352.17017
1531,"(442, 2013)",4614.21778
1532,"(442, 2014)",4741.07149
1533,"(442, 2015)",4480.00056
1534,"(442, 2016)",4667.99249
1535,"(442, 2017)",4960.21355
1536,"(442, 2018)",4941.70411
1537,"(442, 2019)",4941.70411
1538,"(442, 2020)",4941.70411
1539,"(442, 2021)",4941.70411
1550,"(446, 2010)",649.847
1551,"(446, 2011)",610.53098
1552,"(446, 2012)",736.65119
1553,"(446, 2013)",913.27602
1554,"(446, 2014)",1031.46687
1555,"(446, 2015)",1276.89058
1556,"(446, 2016)",2648.29416
1557,"(446, 2017)",3227.40402
1558,"(446, 2018)",3543.20632
1559,"(446, 2019)",3543.20632
1560,"(446, 2020)",3543.20632
1561,"(446, 2021)",3543.20632
1572,"(450, 2010)",51.95815
1573,"(450, 2011)",50.86468
1574,"(450, 2012)",50.86468
1575,"(450, 2013)",50.86468
1576,"(450, 2014)",50.86468
1577,"(450, 2015)",50.86468
1578,"(450, 2016)",24.70438
1579,"(450, 2017)",30.62121
1580,"(450, 2018)",34.04118
1581,"(450, 2019)",34.04118
1582,"(450, 2020)",34.04118
1583,"(450, 2021)",34.04118
1594,"(454, 2010)",50.3521
1595,"(454, 2011)",50.3521
1596,"(454, 2012)",50.3521
1597,"(454, 2013)",50.3521
1598,"(454, 2014)",50.3521
