,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
218,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.0,0.0,13.0,0.03684,432.01568,0
309,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
336,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4,21,30.88083,50.44337,0.0,1.15992,686.12491,1
347,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.18823,204.04403,1
357,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.2,15,0.0,0.0,0.0,25.0,10.0,1
381,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,25.0,10.0,0
404,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60.3,16,0.0,0.0,0.0,0.37307,36.07047,1
418,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
442,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,40,29.55274,52.88558,50.0,0.19501,10.0,1
451,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
463,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,25,21.10257,0.0,0.0,0.43345,492.40565,1
471,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,43.30638,67.37795,0.0,0.46782,406.20873,0
481,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,12,4.84779,0.0,0.0,0.37655,37.95861,0
529,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,14,0.0,0.0,0.0,25.0,10.0,0
597,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,21,0.0,0.0,0.0,25.0,10.0,1
653,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.3,9,0.0,0.0,0.0,0.07822,10.0,0
660,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2,25,21.10257,0.0,0.0,0.53154,491.76349,1
661,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,25.0,47.48012,0
664,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,1,0.0,0.0,0.0,0.16216,17.54637,0
781,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.15296,232.62356,1
891,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,70.0,0.11222,84.10554,1
899,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,20,0.0,0.0,0.0,25.0,10.0,1
905,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,30,0.0,0.0,95.0,1.78034,957.56503,1
908,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.2,30,0.0,0.0,95.0,1.71372,884.59337,1
966,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.9,10,0.0,0.0,0.0,0.78577,221.38592,0
970,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
972,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,60.0,1.09269,1790.69463,1
974,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.31853,363.7885,1
975,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,14,77.64565,81.08346,0.0,2.23703,4154.81555,0
978,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.37359,679.46269,1
981,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
982,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,10,0.0,0.0,0.0,25.0,10.0,0
983,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.70642,156.21967,1
987,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
988,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
990,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,7,16.40903,0.0,0.0,0.20857,172.55775,0
992,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
993,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
995,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
